Metric,Value,Dataset,Model Config
Precision,100,Juliet,RF (binary) (R0- baseline tokenizer)
Recall,99.76,Juliet,RF (binary) (R0- baseline tokenizer)
F1 score,99.88,Juliet,RF (binary) (R0- baseline tokenizer)
Accuracy,99.93,Juliet,RF (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.9983,Juliet,RF (binary) (R0- baseline tokenizer)
Precision,100,Juliet,RF (binary) (R1- Augmented R0)
Recall,99.82,Juliet,RF (binary) (R1- Augmented R0)
F1 score,99.91,Juliet,RF (binary) (R1- Augmented R0)
Accuracy,99.95,Juliet,RF (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.9987,Juliet,RF (binary) (R1- Augmented R0)
Precision,100,Juliet,RF (binary) (R2- R1 + Integer values)
Recall,99.94,Juliet,RF (binary) (R2- R1 + Integer values)
F1 score,99.97,Juliet,RF (binary) (R2- R1 + Integer values)
Accuracy,99.98,Juliet,RF (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.9996,Juliet,RF (binary) (R2- R1 + Integer values)
Precision,100,Juliet,RF (binary) (R3- R1 + Identifiers numbering)
Recall,99.82,Juliet,RF (binary) (R3- R1 + Identifiers numbering)
F1 score,99.91,Juliet,RF (binary) (R3- R1 + Identifiers numbering)
Accuracy,99.95,Juliet,RF (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9987,Juliet,RF (binary) (R3- R1 + Identifiers numbering)
Precision,100,Juliet,RF (binary) (R4- R2 + Identifiers numbering)
Recall,99.82,Juliet,RF (binary) (R4- R2 + Identifiers numbering)
F1 score,99.91,Juliet,RF (binary) (R4- R2 + Identifiers numbering)
Accuracy,99.95,Juliet,RF (binary) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9987,Juliet,RF (binary) (R4- R2 + Identifiers numbering)
Precision,62.37,GitHub Archive Dataset,RF (binary) (R0- baseline tokenizer)
Recall,63.16,GitHub Archive Dataset,RF (binary) (R0- baseline tokenizer)
F1 score,62.77,GitHub Archive Dataset,RF (binary) (R0- baseline tokenizer)
Accuracy,62.43,GitHub Archive Dataset,RF (binary) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.2486,GitHub Archive Dataset,RF (binary) (R0- baseline tokenizer)
Precision,62.23,GitHub Archive Dataset,RF (binary) (R1- Augmented R0)
Recall,56.74,GitHub Archive Dataset,RF (binary) (R1- Augmented R0)
F1 score,59.81,GitHub Archive Dataset,RF (binary) (R1- Augmented R0)
Accuracy,61.82,GitHub Archive Dataset,RF (binary) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.2377,GitHub Archive Dataset,RF (binary) (R1- Augmented R0)
Precision,61.01,GitHub Archive Dataset,RF (binary) (R2- R1 + Integer values)
Recall,61.6,GitHub Archive Dataset,RF (binary) (R2- R1 + Integer values)
F1 score,61.31,GitHub Archive Dataset,RF (binary) (R2- R1 + Integer values)
Accuracy,61.08,GitHub Archive Dataset,RF (binary) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.2215,GitHub Archive Dataset,RF (binary) (R2- R1 + Integer values)
Precision,63.46,GitHub Archive Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Recall,75.9,GitHub Archive Dataset,RF (binary) (R3- R1 + Identifiers numbering)
F1 score,69.12,GitHub Archive Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Accuracy,66.26,GitHub Archive Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.3322,GitHub Archive Dataset,RF (binary) (R3- R1 + Identifiers numbering)
Precision,62.62,GitHub Archive Dataset,RF (binary) (R4- R2 + Identifiers numbering)
Recall,76.89,GitHub Archive Dataset,RF (binary) (R4- R2 + Identifiers numbering)
